content_id,queue_score,model_score,action_label,reason_code,days_since_last_update,impressions_90d,avg_position,ctr,engagement_rate,is_down
content_370de6e8e035,9.242148718788735,0.7934966914152582,NO_ACTION,FRESH_LOW_RISK,20,114389,39.7,0.13,0.0,1
content_150f89b1d73b,9.23325644048989,0.8147594291451646,NO_ACTION,FRESH_LOW_RISK,20,83490,45.0,0.04,0.0,1
content_b51e2e4d22ff,9.071431973917552,0.7938369448345415,NO_ACTION,FRESH_LOW_RISK,20,91795,41.2,0.04,4.0,1
content_f648a9fdfd2a,9.063359705743556,0.8203090873655331,NO_ACTION,FRESH_LOW_RISK,20,62862,44.8,0.04,0.0,1
content_a7c2dfc8a6ec,8.927266174144854,0.7935447906291252,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,76868,39.9,0.01,5.56,1
content_30772e1964b8,8.831436412380288,0.7850682551521108,NO_ACTION,FRESH_LOW_RISK,20,76822,39.8,0.1,3.95,1
content_21b3d827d451,8.65105063207388,0.8185600224484467,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,14,38894,39.4,0.01,0.0,1
content_fb4bf6555c79,8.600077328407941,0.7584049431134594,REVIEW_REFRESH,STALE_VISIBLE,104,84093,45.6,0.0,0.0,1
content_ff94c9b6b411,8.587716586774363,0.6959485931927213,NO_ACTION,FRESH_LOW_RISK,20,228566,27.4,0.04,1.15,1
content_09100d409cfc,8.560834394610415,0.793081156747253,NO_ACTION,FRESH_LOW_RISK,20,48746,40.0,0.09,4.26,1
content_66b4046cc144,8.556700940655,0.6962572684795841,NO_ACTION,FRESH_LOW_RISK,20,217415,26.6,0.03,1.35,1
content_54baba704595,8.446801615660814,0.7170440107567945,REVIEW_REFRESH,STALE_VISIBLE,104,130617,47.0,0.01,1.42,1
content_548238274473,8.40122159119389,0.7711108271792071,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,53903,40.3,0.02,9.09,1
content_32cfb0b2fccf,8.379628734192321,0.7350260853949315,REVIEW_REFRESH,STALE_VISIBLE,104,89361,38.5,0.01,1.5,1
content_5096a9d25fe5,8.24345731818737,0.7630841728741373,REVIEW_REFRESH,STALE_VISIBLE,104,49158,46.6,0.01,0.0,1
content_1d58cdcf8bca,8.1734287362197,0.7575887018484367,NO_ACTION,FRESH_LOW_RISK,20,48471,37.6,0.06,2.86,1
content_15bbc0978284,8.166161000040395,0.7037129621271777,REVIEW_REFRESH,STALE_VISIBLE,104,109577,34.4,0.04,0.81,1
content_8b36799b7e44,8.142587529905603,0.6865961477768627,REVIEW_REFRESH,STALE_VISIBLE,104,141400,32.0,0.02,2.17,1
content_db0bf34f871c,8.140746606902486,0.8125813378406628,NO_ACTION,FRESH_LOW_RISK,20,22434,40.5,0.04,0.0,1
content_20e876d26019,8.116523251718267,0.7377808275281369,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,59949,27.3,0.02,0.0,1
content_2d6dd9c9b23f,8.106984329187412,0.7916207707303742,NO_ACTION,FRESH_LOW_RISK,20,28028,48.4,0.05,0.0,1
content_d99b7a2d90ca,8.088089790777254,0.820327367066943,NO_ACTION,FRESH_LOW_RISK,14,19140,44.0,0.13,0.0,1
content_60e8eba31e41,8.08523032166656,0.7918920392222699,NO_ACTION,FRESH_LOW_RISK,20,27173,37.3,0.04,0.0,1
content_551fe371f51b,8.079970902044316,0.6929926409759039,NO_ACTION,FRESH_LOW_RISK,20,115789,23.8,0.04,4.17,1
